Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track1.ar-ar	A man plays the French horn to attract attention.	Boy pasteurization plays the French horn.	رجل يعزف على بوق فرنسي لجذب الانتباه .	صبي بسترة يعزف على البوق الفرنسي.
STS2017	track1.ar-ar	People playing music to celebrate this week.	People lead presentation on stage.	يعزف الناس الموسيقى لاحتفال هذا الأسبوع .	يؤدي الناس العرض على خشبة المسرح.
STS2017	track1.ar-ar	Workers on the ground looks at the foundation base.	Iron worker stands next to the flag at the top of the building in which it operates.	عامل على الأرض ينظر إلى قاعدة الأساس.	عامل بالحديد يقف بجانب العلم في الجزء العلوي من المبنى الذي يعمل عليه .
STS2017	track1.ar-ar	A man cut fish.	A man cut fish	رجل يقطع السمك .	رجل يقطع السمك
STS2017	track1.ar-ar	Boys while holding a bicycle.	 Two daughters on a bicycle.	صبيان يمسكان بدراجة .	 بنتان على دراجة .
STS2017	track1.ar-ar	Dogs play outdoors.	Animals play outdoors.	تلعب الكلاب في الهواء الطلق.	تلعب الحيوانات في الهواء الطلق.
STS2017	track1.ar-ar	Play two shots in the water.	Dogs play in the water.	تلعب قطتان في الماء.	تلعب الكلاب في الماء.
STS2017	track1.ar-ar	Girl eat all the pasta, do not keep any of it to her friend.	A man and a woman in the kitchen with another woman, a cook something to eat.	تأكل فتاة المعكرونة كلها ، ولا تبقي منها شيئا لصديقتها.	رجل وامرأة في المطبخ مع امرأة أخرى وهي تطهي  شيء للطعام.
STS2017	track1.ar-ar	A male and a female inside.	Male with a small female.	هناك ذكر وأنثى بالداخل.	الذكر مع أنثى صغيرة.
STS2017	track1.ar-ar	A group of people standing in a warehouse.	A group of three people standing in front of an empty swimming fish ..	مجموعة من الناس يقفون في أحد المخازن.	مجموعة مكونة من ثلاثة أشخاص يقفون أمام حوض أسماك فارغ ..
STS2017	track1.ar-ar	A young man riding a single bicycle.	A man helping a little girl to ride a bike.	شاب يركب دراجة أحادية.	رجل يساعد فتاة صغيرة على ركوب دراجة.
STS2017	track1.ar-ar	There are people close to the football.	Some people threw the football toward the sun.	هناك أشخاص بالقرب من كرة قدم.	بعض الأشخاص يقذفون كرة القدم نحو الشمس.
STS2017	track1.ar-ar	Monster came out of the ocean.	 A young boy runs away away from the ocean waves approaching.	وحش خرج من المحيط.	 صبي صغير يهرب بعيدا عن موجات المحيط المقتربة .
STS2017	track1.ar-ar	Two young men riding a raft down the river.	They blaspheme down favorite river.	شابان يركبان الرمث أسفل النهر.	إنهم يجدفون أسفل نهر مفضل .
STS2017	track1.ar-ar	Workers clearing rubbish street.	Workers out of work in a flooded street.	عمال يزيلون قمامة الشارع.	العمال خارج العمل في شارع غمرته المياه.
STS2017	track1.ar-ar	Girls and boy and abroad.	The boy and the girl are walking out.	البنات والولد والخارج.	الصبي والفتاة يسيرون خارجا .
STS2017	track1.ar-ar	Bird statue holds a flower.	Women comply in front of two large statues of elephants in a museum.	تمثال الطائر يحمل زهرة.	تمتثل المرأة أمام اثنين من تماثيل الفيلة الكبيرة في متحف.
STS2017	track1.ar-ar	Atqatlan two adults in the street after a football match.	The two girls in the middle of the game.	شخصان بالغان يتقاتلان في الشارع بعد مباراة لكرة القدم.	الفتاتان في منتصف اللعبة.
STS2017	track1.ar-ar	Cowboy about to be reeling from the bull.	Clown about to be run over by a bull.	راعي البقر على وشك أن يترنح من على الثور.	مهرج على وشك أن يتم دهسه من قبل ثور.
STS2017	track1.ar-ar	A man sitting in a chair reading a book.	A man sitting in a chair reading a magazine.	رجل يجلس على كرسي يقرأ كتابا .	رجل يجلس على كرسي يقرأ مجلة.
STS2017	track1.ar-ar	Sleeping baby while the mother you pay in a stroller.	Toddler running toward his mother.	طفل نائم في حين أن والدته تقوم بدفعه في عربة الأطفال.	طفل صغير يركض باتجاه أمه .
STS2017	track1.ar-ar	A group of people go jogging.	 A group of people talking next to each other.	مجموعة من الناس يذهبون للجري.	 مجموعة من الناس يتحدثون بجانب بعضهم البعض .
STS2017	track1.ar-ar	The factory workers making bottles	Factories yellow resolutely workers working.	عمال المصنع يصنعون زجاجات	يعمل عمال المصانع بحزم الصفراء.
STS2017	track1.ar-ar	Three men are preparing for the marathon.	Two men were training in preparation for the marathon race	ثلاثة رجال يستعدون لسباق ماراثون.	رجلان يتدربان استعدادا لسباق مارثون
STS2017	track1.ar-ar	People learn to swim.	Woman learn how to swim.	شخص يتعلم السباحة.	امرأة تتعلم كيفية السباحة.
STS2017	track1.ar-ar	People walking as a group abroad.	A group of people walking in the open.	الناس يسيرون كمجموعة في الخارج.	مجموعة من الناس يسيرون في الخلاء.
STS2017	track1.ar-ar	Two dogs running around behind the ball outside.	Dogs took place in a field and then drove monitored.	يركض كلبان خلف كرة في الخارج.	كلبان يجريان في الحقل وصحبهما يراقبها.
STS2017	track1.ar-ar	A man just came from the sea wearing a diving suit and now holds the fund.	Man with no shirt and a woman in a bikini in the water consciously look in their eyes away from the camera.	رجل جاء لتوه من البحر يرتدي بدلة الغوص والآن يحمل صندوق.	رجل بلا قميص وامرأة في بيكيني في الماء يشيحون بنظرهم بعيدا عن الكاميرا.
STS2017	track1.ar-ar	Asian man seen an event of many decorations in the background Chinese characters.	Osewean couple standing alongside fictional poster.	رجل آسيوي يشاهد حدثا ذا زخارف كثيرة في خلفيتها حروف صينية.	زوجان أسيويان يقفان إلى جانب ملصق خيالي.
STS2017	track1.ar-ar	Black dog playing a game of green.	Black plays a game of red dog.	كلب أسود يلعب بلعبة خضراء.	يلعب كلب أسود بلعبة حمراء.
STS2017	track1.ar-ar	DJ device works in the club	Bring DJ a lot of money for the club	جهاز الدي جي يعمل في النادي	جلب الدي جي الكثير من المال للنادي
STS2017	track1.ar-ar	Three people are waiting for the people next to a stone wall.	Two people working on a stone wall	ثلاثة أشخاص ينتظرون الناس بجوار جدار حجري.	شخصان يعملان علي جدار حجري
STS2017	track1.ar-ar	A man completely attentive on the train.	A man on board Qtarattalaa of the window.	رجل يقظ تمامًا في القطار.	رجل على متن قطاريتطلع من النافذة.
STS2017	track1.ar-ar	There are people quarreled.	The man is not near any people.	هناك شخص يتعارك.	الرجل ليس بالقرب من أي أشخاص.
STS2017	track1.ar-ar	A couple playing water polo in the holiday.	The boy goes to the pool when it is in recess.	زوجان يلعبان كرة الماء في الأجازة.	يذهب الولد للسباحة عندما يكون في عطلة.
STS2017	track1.ar-ar	The car passed them next to people prohibitive rain	I breathed the smoke race car when he crossed the finish line.	مرت السيارة بجوار الأشخاص مانعة عنهم المطر	نفثت سيارة سباق الدخان عندما اجتازت خط النهاية.
STS2017	track1.ar-ar	Girl look to her image reflected in a pool of water.	Girl rehearse in the room.	طفلة تنظر لصورتها المنعكسة في بركة ماء.	فتاة تتمرن في الغرفة.
STS2017	track1.ar-ar	The man in the new test target pistol.	A man does a trick on a bike in the air.	الرجل يختبر الهدف في مسدسه الجديد.	رجل يقوم بخدعة على دراجة في الهواء.
STS2017	track1.ar-ar	Atorjuhan two children in a crowded stadium.	Teenage boys walking together on the sidewalk in the city.	طفلان يتأرجحان في ملعب مزدحم.	صبيان مراهقان يسيران معا على الرصيف في مدينة.
STS2017	track1.ar-ar	Woman who painted her face.	Woman paint her face	امرأة رسمت وجهها.	المرأة ترسم وجهها
STS2017	track1.ar-ar	Dog wondering where mate.	A young boy smiling at him for being a dog.	كلب يتساءل أين رفيقة.	صبي صغير يبتسم لكلب يجري نحوه.
STS2017	track1.ar-ar	A boy wearing a warm suit the color yellow in black playing with brown dog wearing a red collar.	A young boy wearing a blue and red jacket unearth securities.	صبي يرتدي بدلة دافئة لونها أصفر في أسود يلعب مع كلب بني يرتدي طوق أحمر.	صبي صغير يرتدي سترة زرقاء وحمراء ينبش الأوراق.
STS2017	track1.ar-ar	Women play a ski race and fell one wearing yellow.	Two boys playing a game of horse in the summer.	تلعب النساء سباق التزلج وسقطت واحدة ترتدي الأصفر.	اثنين من الصبية يلعبون لعبة الحصان في فصل الصيف.
STS2017	track1.ar-ar	There is a man having dinner in a restaurant.	Addresses the couple had dinner at a restaurant.	هناك رجل يتناول العشاء في أحد المطاعم.	يتناول زوجان العشاء في أحد المطاعم.
STS2017	track1.ar-ar	Crowd in the theater.	A man stands in line at the movie theater.	جمهرة في المسرح.	رجل يقف في طابور في صالة السينما.
STS2017	track1.ar-ar	The same rule for dust plate pitch in order to see better.	 The ladies are ready to hit the ball as soon as it arrives.	نفض الحكم الغبار عن صفيحة الملعب لكي يراها بشكل أفضل.	 السيدات مستعدات لضرب الكرة فور وصولها.
